,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
17,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,rkiO4wA3VHyjpTHbDkZC-Hu12KMvYDFPQqkr2neHkNctars,Ravel Gaspard,57,324,266,False,False,True,False
18,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,ViwmFBQO9mt2bvtXl16dSX_UCIO4JJhx-SDjaeNzx9nJYD0,Loyal,57,275,264,False,False,True,False
19,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,UjIwMnQkdpaIRB9OUs6YgoYQxhImlx-N8VUgfqik53iPK4lT,ajang9,57,264,187,False,False,True,True
20,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,kTQkQb8Easdkr5Y8ZfobbP0UH_iwxuuduir4MRecw_bvEg68,you give elo,57,203,137,False,False,False,False
21,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,r5ulE07KlRNeJBS6hwl9uRUYIS-sDtGnSVU-JL3bfYZw3v8,Hachimitsu,56,144,120,False,False,True,False
22,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,VFEfkB0C4-khKzXOf_CmFM726BlbbXXTb-cYmk-h1ejqxv4,HunChiDengTang,55,521,458,False,False,False,True
23,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,Za0X46zDEacqbyZYkzFwgp1HmKyA40gcxbP8ecDJ6qqQAe8,RiceLegend,55,510,486,False,False,True,False
24,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,mShw6iLvSWsChW7_lBmMm7LjLioDHjC57-x8epSh9xhxTog,Last Tempest,55,161,141,False,False,True,False
25,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,VepfWdUkR0FOBgz0i5lAWjOhS77eTl0-pgMu8K-c9F4Sc18,Kevy C,54,275,259,False,False,True,False
26,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,oD4Xz2-Ftkq_iglKKB-lGMpRj3QNx2PU-EMvhgP7DOlkNPE,Japanese Import,54,211,198,False,False,True,False
27,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,-LeTRYcnGtdr5-iA3GuPZ1iHClOjZe6Lg0BvfJ1JgwkhrYw,Top 1 Percent,54,190,175,False,False,True,False
28,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,RXEUQu07V6GM7TeegtXg269l5N5dB0teXU1GnTPmYgwI-8n0,RED99,54,168,102,False,False,True,False
29,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,jNH4ifJY7V64yjCnJvJ4_0yil71yn6Z2vcsEa5T8-W3OB1g,Ayukura,54,128,117,False,False,True,False
30,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,VqeGa9tkJkaTLiQDUJp8NQgsk8utxcQTP8uPeFKxIyTjWuc,Grapermelon,53,342,311,False,False,True,True
31,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,ycDkNg_aasFXwKjIdZXK6ObMbJNLcRI0bpnYVTMPS0abQps,ps 01,52,585,584,False,False,True,False
32,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,LFo456qFsN6JOKEvMtfAElQJTvZJy6FDgndj7CvtFCuvPII,Speed0Demon,52,354,307,False,False,False,True
33,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,noN-vaY4SIDPmCTLIclnXiv85TnLWiR2Pcopl1du7MJyJnU,Anarchist Matt,52,194,122,False,False,True,True
34,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,oVlkHCykNvz-YLiAX6San9Fs4QPy1bPmL4Bcp_ccDp43mxg,ASTHTCS,52,74,37,False,False,True,False
35,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,bgj6nBu8-isZI7n-r4T8qOsJB2Tefb44-VzkcIDgZDXSC5Y,Hogan,51,331,304,False,False,True,True
36,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,sq-UM8xbjxFKzmYivkZCYKVJdePJVtaodZITpMJlVfikTHI,Shi yao,51,190,150,False,False,False,False
37,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,Xx36x9wjcHKd6c6c2aF0nDfNYK58osI3uR3ooB3iUdDfMzM,Mordekaiser4life,51,169,151,False,False,True,False
38,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,CoTKeHdaKx-SU98Stki1zSVPF2M1NeI5F_R-15iFU9ARxo4,Pride Jia,50,451,436,False,False,True,True
39,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,kIEBKNlojB_7qxdUwehhWRVcZ-j9lb2VyyLd1b9b7fQmdqvh,XKatarinaAIX,50,369,360,False,False,False,True
40,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,IMFj5YA8UiVsnXqYE8I_TFA_gojdkruBNGLK6ixfl_it14o,ˆºˆˆºˆˆºˆ,50,186,146,False,False,True,False
41,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,gvfZvcfXxxFZZLefRzFKjyYH1ZKnEYvrm3uILjyWLGJEBvU,X3JIE,50,163,133,False,False,False,False
42,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,znFGYtDqpIvoOscU2RfkxdAQl5HzCYmJBQlq366Kt2oBgRQ,Dog Team Woof,50,101,80,False,False,False,False
43,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,nu4hr2PWwvlJSE2-wLxRBQyzUyk6dzpHKpZk4BlKmtFq1YY,NOBAN SETT SYLAS,49,197,169,False,False,True,True
44,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,Need84xV8hMLo-6EcKUXfF6STKeYgLnAs2LOcWh_sEQNas8,Arcsecond,48,613,616,False,False,True,False
45,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,bS2SjI8tnc50wzpJp_fGJSMDzzoLbTqQfKe2gOIZOW75Wf4,Soraxus,48,271,255,False,False,True,False
46,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,9Y3dCBDi_VD_LFG5hHrUlEBUZbLSEPXFWFzvs27xpSy5wjU,Max JG,47,530,488,False,False,True,False
47,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,-JAX_FD0WUAbw-59CzYYut_x7qS-5ofy3E8DGkdimsbFGw8,         Chòsen1,47,187,148,False,False,False,False
48,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,VnlbEBkQ8LyGCqABC8Zlng759Y0C_oWArPltgPEdw3J7wQ4,Nelsonºs Cat,47,168,136,False,False,False,False
